CombinedId,County,CountyName,Year,KCAL,TOTCHOL,NONHDL,dBMI,WHTFLOUR,EGGS,FISH,FRUIT,GREENVEG,LEGUME,LIGHTVEG,MEAT,MILK,OTHCEREAL,RICE,SALTVEG,STCHSUGAR,STCHTUBER,ALL0-4,ALL5-14,ALL15-34,ALL0-34,ALL35-69,ALL70-79,MEDICALb,MEDICALc,NONMEDb,NONMEDc,INFECTb,INFECTc,INTESTINb,INTESTINc,PULMTBb,PULMTBc,OTHERTBb,OTHERTBc,VIRALHEPb,VIRALHEPc,SCHISTOc,ALLCAb,ALLCAc,MOUTHCAc,NASOPCAc,NPConlyc,OESOPHCAc,STOMCAc,COLRECCAc,LIVERCAb,LIVERCAc,PANCRSCAc,BLADDCAc,LARYNXCAc,LUNGCAmc,LUNGCAfc,BREASTCAc,CERVIXCAc,BRAINCAc,LYMPHOMAc,LEUKEMIAb,LEUKEMIAc,ENDOCRINb,ENDOCRINc,DIABETESc,MALNUTRIb,MALNUTRIc,BLOODb,BLOODc,MENTALb,MENTALc,NERVOUSb,NERVOUSc,MENINGITb,MENINGITc,EPILEPSYb,EPILEPSYc,ALLVASCb,ALLVASCc,RHEUMHDb,RHEUMHDc,HYPTENSc,IHDc,IHeartDisease,STROKEb,STROKEc,VASC-STRb,VASC-STRc,ALLRESPb,ALLRESPc,PNEUMONb,PNEUMONc,COPDc,DIGESTIVb,DIGESTIVc,PEPULCERc,ENTCOLc,INTESTOBc,CIRRHOSb,CIRRHOSc,TOTLIVRb,TOTLIVRc,GALLBILc,GENITURc,GENITURmc,GENITURfc,RENALc,PREGBRTHb,PREGBRTHc,ALLSKINc,MUSCSKELc,ILL-DEFb,ILL-DEFc,ACCIDENTb,ACCIDENTc,ROADACCb,ROADACCc,DROWNb,DROWNc,SUICIDEb,SUICIDEc,HOMICIDEb,HOMICIDEc,INFANT,MATERNAL,ALLCUMa,MEDICALa,NONMEDa,RESPINFa,ALLGIa,CONGENITa,NTDa,CONGENHDa,PERINATa,LOWBTHWTa,BTHTRAUMa,RDSa,NEOTETANa,MALNUTRIa,DROWNa
AAT31983,AA,Shanghai,1983,2521,151,100.6,20.5,17.1,12,23.2,0,113.5,17.7,120.7,44.9,0,0,490,11.4,0.2,94.3,3.44,57.26,99.25,122.17,11.27,78.29,70.28,10.6,51.9,67.67,14.06,127.71,0,0,1.6,73.8,0.13,1.32,0,0,20.84,12.17,3.93,0,3.21,0,59.87,107.02,16.84,2.04,73.01,0,3.58,0,0,0,10.78,12.67,3.44,4.3,3.08,5.95,0.87,5.06,3.77,0,0,1.03,3.62,0,0,0,0,0,0,0,0,9.47,2.21,1.03,16.79,9.79,9.87,9.87,0.59,155.96,8.89,65.1,7.5,204.32,5.04,12.21,146.26,3.46,64.91,5.72,0,2.66,0,0,0,0,0,0,0,0,14.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.54,0,17.19,10.16,7.03,0,0,0,0,0,4.43,0,0,0,0.04,0,0
ABT31983,AB,Qingpu,1983,2704,130,84.6,20.4,22,12.6,11.2,0,80.1,21.8,132.3,62.5,0,0,513.5,22.1,4,65.5,4.42,59.52,120.29,148.94,12.75,87.83,85.95,12.11,62.99,63.76,26.54,250.54,0,0,3.49,114.51,0.89,2.11,0,0,88.23,14.07,3.99,0,3.94,0,51.12,118.84,44.2,1.32,74.22,0,0.39,0,0,0,8.05,20.67,3.23,2.51,3.08,6.78,1.56,4.51,4.11,0,0,0.37,1.43,0,0,0,0,0,0,0,0,11.49,1.82,1.27,10.08,9.78,5.36,5.36,1.21,124.18,10.29,57.46,12.88,278.21,10.96,17.41,258.87,2.79,52.68,10.24,0,1.41,0,0,0,0,0,0,0,0,20.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.69,0,22.12,13.15,8.96,0,0,0,0,0,3.86,0,0,0,0,0,0
ACT31983,AC,Songjiang,1983,2416,118,85.7,20,3.8,10,32.4,0,31.6,4,212.6,24,0,0,532,7.1,0.1,23.2,3.55,62.42,94.74,122.67,11.67,86.03,70.39,11.1,52.29,57.15,22.04,150.46,0,0,2.38,82.17,0.19,2.5,0,0,36.64,8.94,3.32,0,2.22,0,44.27,96.71,27.86,0.95,66.17,0,2.38,0,0,0,9.53,12.03,2.11,1.91,1.79,4.69,0.24,2.84,2.11,0,0,0.47,2.96,0,0,0,0,0,0,0,0,8.39,1.9,0.7,11.58,6.37,7.38,7.38,0.44,121.79,7.95,67.97,11.68,303.33,9.33,11.06,214.11,3.31,65.64,2.48,0,6.35,0,0,0,0,0,0,0,0,13.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.36,0,17.75,10.42,7.33,0,0,0,0,0,2.83,0,0,0,0,0,0
BAT31983,BA,Cixian,1983,2656,110,66.9,20.6,400.2,0,0,0,198,0,177.8,4.4,0,257.9,4.5,2.6,1.6,4.9,8.44,105.55,126.13,222.79,17.1,97.55,185.96,16.56,36.84,53.81,94.86,171.31,0,0,8.51,82.83,2.96,8.47,0,0,0,7.47,6.5,0,4,0,441.81,60.57,11.93,0.34,37.56,0,0.47,0,0,0,5.13,48.74,4.56,1.92,1.47,3.21,1.32,8.72,7.32,0,0,3.04,5.42,0,0,0,0,0,0,0,0,15.33,3.43,3.12,21.52,54.55,48.21,48.21,1.16,205.21,14.17,137.22,41.17,310.08,36.37,21.25,249.2,14.38,115.56,24.66,0,6.21,0,0,0,0,0,0,0,0,20.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.84,0,42.2,38.98,3.22,0,0,0,0,0,11.97,0,0,0,5.91,0,0
BBT31983,BB,Jingxing,1983,1855,123,78,21.5,125.8,1.4,0,2.2,690.9,3.7,127.6,0,0,342.1,6.1,0,0.6,14.1,4.33,91.29,121.71,157.48,13.41,70.45,113.36,12.74,44.12,67.72,53.44,82.18,0,0,8.54,47.5,2.89,7.26,0,0,0,9.79,4.37,0,5.66,0,199.12,72.72,9.97,1.15,32.38,0,1.48,0,0,0,6.42,83.7,2.54,4.33,3.31,4.53,1.95,6.25,4.46,0,0,2.44,3.92,0,0,0,0,0,0,0,0,10.43,3.48,3.51,28.25,45.8,48.53,48.53,0.41,217.14,10.02,130.55,21.2,237.64,19.17,15.5,216.56,5.47,86.66,25.53,0,6.86,0,0,0,0,0,0,0,0,23.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.95,0,21.65,19.44,2.22,0,0,0,0,0,7.53,0,0,0,3.99,0,0
BCT31983,BC,Huanghua,1983,2549,126,80,20.8,396.2,3.1,5.8,15.3,189.8,5.2,153.8,1.2,0,229.5,6.3,27,0.1,6.1,8.58,51.24,92.78,190.21,9.53,57.98,157.58,9.13,32.63,39.53,62.7,78.39,0,0,5.27,46.8,3,8.35,0,0,0,9.41,2.7,0,2.98,0,51.82,39.68,18.21,1.09,52.95,0,0.97,0,0,0,8.85,19.95,8.04,3.2,3.31,4.07,3.42,5.79,5.79,0,0,1.38,1.72,0,0,0,0,0,0,0,0,13.27,2.22,5.14,24.93,22.57,35.58,35.58,0.69,134.86,12.59,86.52,19.27,230.11,17.19,8.05,218.57,6.63,83.97,17.07,0,3.11,0,0,0,0,0,0,0,0,9.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.89,0,42.9,38.82,4.07,0,0,0,0,0,23.61,0,0,0,7.59,0,0
CBT31983,CB,Huguan,1983,2398,116,69.5,20.7,89,1.5,0,0,48.7,0.5,328.2,0,0,538.4,1.3,0,2,250.2,18.18,175.03,196.2,421.74,19.46,108.08,377.01,18.67,44.72,78.55,179.47,134.43,0,0,9.39,62.99,2.83,16.69,0,0,0,10.54,5.73,0,5.59,0,201.77,212.66,19.25,0.29,43.46,0,0,0,0,0,11.06,82.17,2.2,2.99,3.5,1.48,2.75,12.16,10.18,0,0,2.92,8.26,0,0,0,0,0,0,0,0,15.54,4.02,2.37,62.3,54.27,23.13,23.13,1.55,237.41,14,164.53,105.15,432.62,99.19,29.39,337.56,24.17,186.62,45.3,0,24.46,0,0,0,0,0,0,0,0,64.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.87,0,90.87,87.04,3.83,0,0,0,0,0,34.48,0,0,0,3.66,0,0
CCT31983,CC,Jiangxian,1983,2276,139,88.8,20.8,517.3,0.5,0,4.1,13.3,1.6,130.5,4.3,0,39.2,0.5,10.1,2.7,104,6.76,128.12,162.71,226.2,18.51,83.15,182.63,17.61,43.58,89.72,96.89,136.11,0,0,8.43,49.34,4.38,16.38,0,0,0,8.1,5.4,0,4.42,0,163.97,182.9,27.9,0,44.21,0,3.27,0,0,0,14.61,113.77,8.87,1.3,1.7,10.87,0.45,2.37,2.37,0,0,3.66,10.63,0,0,0,0,0,0,0,0,17.66,4.31,7.73,21.69,62.97,41.71,41.71,1.68,286.43,15.99,144.3,52.81,409.05,49.52,41.82,339.32,14.94,175.9,50.63,0,9.87,0,0,0,0,0,0,0,0,32.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.76,0,33.81,32.03,1.79,0,0,0,0,0,7.53,0,0,0,3.43,0,0
CDT31983,CD,Jiexiu,1983,3335,103,59.8,21.2,348.8,0,0,0,12.4,33.9,226.6,0.4,0,343,0.6,3,0.2,493.4,6.62,99.28,125.09,194.33,12.24,85.57,161.82,11.59,32.51,64.84,72.09,83.63,0,0,7.71,44.41,4.03,12.27,0,0,0,8.28,2.52,0,4.53,0,56.49,40.14,20.89,0.53,24.6,0,1.93,0,0,0,15.91,76.35,0,2.26,2.42,3.54,3.57,5.89,1.25,0,0,1.01,2.25,0,0,0,0,0,0,0,0,12.77,3.42,3.81,36.19,37.34,51.47,51.47,1.35,199.47,11.42,142.16,30.65,314.84,28.05,14.69,282.01,12.97,87.84,22.64,0,2.13,0,0,0,0,0,0,0,0,27.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.78,0,33.08,31.97,1.1,0,0,0,0,0,11,0,0,0,2.98,0,0
DAT31983,DA,Shangshui,1983,2897,116,77.6,19.6,462.8,0.2,0,9.5,1.7,12.3,244.9,41.1,0,150.2,0,0,4.9,215.6,8.56,213.43,117.98,250.59,11.15,74.42,216.03,10.71,34.55,44.67,146.89,241.38,0,0,6.92,120.95,1.14,5.67,0,0,0,4.92,1.6,0,2.45,0,62.73,21.06,7.9,0.58,19.21,0,0.65,0,0,0,10.9,26.25,2.04,1.51,1.56,1.89,0.79,8.45,6.69,0,0,2.66,11.08,0,0,0,0,0,0,0,0,9.31,1.76,4.83,25.95,27.66,15.62,15.62,1.01,94.06,8.3,81.92,39.91,244.22,35.71,35.24,176.92,17.89,190.63,46.74,0,13.58,0,0,0,0,0,0,0,0,26.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.91,0,42.77,39.69,3.07,0,0,0,0,0,15.54,0,0,0,13.17,0,0
